,Date,Value,Ted_Spread_Return
0,1986-01-02,0.9,
1,1986-01-03,1.0,0.11111111111111116
2,1986-01-06,1.1,0.10000000000000009
3,1986-01-07,1.1,0.0
4,1986-01-08,0.8,-0.2727272727272727
5,1986-01-09,1.0,0.25
6,1986-01-10,1.0,0.0
7,1986-01-13,1.1,0.10000000000000009
8,1986-01-14,1.1,0.0
9,1986-01-15,1.1,0.0
10,1986-01-16,1.1,0.0
11,1986-01-17,1.1,0.0
12,1986-01-21,1.2,0.09090909090909083
13,1986-01-22,1.2,0.0
14,1986-01-23,1.2,0.0
15,1986-01-24,1.2,0.0
16,1986-01-27,1.2,0.0
17,1986-01-28,1.1,-0.08333333333333326
18,1986-01-29,1.0,-0.09090909090909094
19,1986-01-30,1.0,0.0
20,1986-01-31,1.1,0.10000000000000009
21,1986-02-03,1.1,0.0
22,1986-02-04,1.1,0.0
23,1986-02-05,1.0,-0.09090909090909094
24,1986-02-06,0.9,-0.09999999999999998
25,1986-02-07,0.9,0.0
26,1986-02-10,0.9,0.0
27,1986-02-11,1.0,0.11111111111111116
28,1986-02-12,1.0,0.0
29,1986-02-13,1.0,0.0
30,1986-02-14,1.0,0.0
31,1986-02-18,1.0,0.0
32,1986-02-19,0.9,-0.09999999999999998
33,1986-02-20,0.9,0.0
34,1986-02-21,1.0,0.11111111111111116
35,1986-02-24,1.0,0.0
36,1986-02-25,0.9,-0.09999999999999998
37,1986-02-26,0.9,0.0
38,1986-02-27,0.9,0.0
39,1986-02-28,0.9,0.0
40,1986-03-03,0.9,0.0
41,1986-03-04,0.9,0.0
42,1986-03-05,0.8,-0.11111111111111105
43,1986-03-06,1.0,0.25
44,1986-03-07,1.0,0.0
45,1986-03-10,1.0,0.0
46,1986-03-11,0.9,-0.09999999999999998
47,1986-03-12,0.8,-0.11111111111111105
48,1986-03-13,0.9,0.125
49,1986-03-14,1.0,0.11111111111111116
50,1986-03-17,0.9,-0.09999999999999998
51,1986-03-18,1.0,0.11111111111111116
52,1986-03-19,1.1,0.10000000000000009
53,1986-03-20,1.1,0.0
54,1986-03-21,1.1,0.0
55,1986-03-24,1.2,0.09090909090909083
56,1986-03-25,1.2,0.0
57,1986-03-26,1.2,0.0
58,1986-03-27,1.1,-0.08333333333333326
59,1986-04-01,1.0,-0.09090909090909094
60,1986-04-02,1.0,0.0
61,1986-04-03,1.0,0.0
62,1986-04-04,1.1,0.10000000000000009
63,1986-04-07,1.0,-0.09090909090909094
64,1986-04-08,0.9,-0.09999999999999998
65,1986-04-09,0.9,0.0
66,1986-04-10,0.9,0.0
67,1986-04-11,0.9,0.0
68,1986-04-14,1.0,0.11111111111111116
69,1986-04-15,1.0,0.0
70,1986-04-16,1.0,0.0
71,1986-04-17,0.7,-0.30000000000000004
72,1986-04-18,0.8,0.14285714285714302
73,1986-04-21,0.8,0.0
74,1986-04-22,0.8,0.0
75,1986-04-23,0.7,-0.1250000000000001
76,1986-04-24,0.7,0.0
77,1986-04-25,0.8,0.14285714285714302
78,1986-04-28,0.9,0.125
79,1986-04-29,0.8,-0.11111111111111105
80,1986-04-30,0.8,0.0
81,1986-05-01,0.8,0.0
82,1986-05-02,0.8,0.0
83,1986-05-06,0.8,0.0
84,1986-05-07,0.8,0.0
85,1986-05-08,0.8,0.0
86,1986-05-09,0.8,0.0
87,1986-05-12,0.8,0.0
88,1986-05-13,1.0,0.25
89,1986-05-14,0.9,-0.09999999999999998
90,1986-05-15,0.8,-0.11111111111111105
91,1986-05-16,0.9,0.125
92,1986-05-19,0.9,0.0
93,1986-05-20,1.0,0.11111111111111116
94,1986-05-21,0.9,-0.09999999999999998
95,1986-05-22,0.9,0.0
96,1986-05-23,0.9,0.0
97,1986-05-27,0.9,0.0
98,1986-05-28,0.8,-0.11111111111111105
99,1986-05-29,0.8,0.0
100,1986-05-30,0.8,0.0
101,1986-06-02,0.8,0.0
102,1986-06-03,0.8,0.0
103,1986-06-04,0.7,-0.1250000000000001
104,1986-06-05,0.7,0.0
105,1986-06-06,0.9,0.2857142857142858
106,1986-06-09,0.7,-0.22222222222222232
107,1986-06-10,0.9,0.2857142857142858
108,1986-06-11,0.8,-0.11111111111111105
109,1986-06-12,0.9,0.125
110,1986-06-13,1.0,0.11111111111111116
111,1986-06-16,0.9,-0.09999999999999998
112,1986-06-17,0.9,0.0
113,1986-06-18,0.9,0.0
114,1986-06-19,0.9,0.0
115,1986-06-20,1.0,0.11111111111111116
116,1986-06-23,1.0,0.0
117,1986-06-24,0.9,-0.09999999999999998
118,1986-06-25,0.9,0.0
119,1986-06-26,0.9,0.0
120,1986-06-27,0.9,0.0
121,1986-06-30,0.9,0.0
122,1986-07-01,0.8,-0.11111111111111105
123,1986-07-02,0.8,0.0
124,1986-07-03,0.9,0.125
125,1986-07-07,0.9,0.0
126,1986-07-08,0.8,-0.11111111111111105
127,1986-07-09,0.9,0.125
128,1986-07-10,0.9,0.0
129,1986-07-11,0.9,0.0
130,1986-07-14,0.9,0.0
131,1986-07-15,0.8,-0.11111111111111105
132,1986-07-16,0.8,0.0
133,1986-07-17,0.8,0.0
134,1986-07-18,0.9,0.125
135,1986-07-21,0.8,-0.11111111111111105
136,1986-07-22,0.8,0.0
137,1986-07-23,0.8,0.0
138,1986-07-24,0.8,0.0
139,1986-07-25,0.8,0.0
140,1986-07-28,0.7,-0.1250000000000001
141,1986-07-29,0.8,0.14285714285714302
142,1986-07-30,0.7,-0.1250000000000001
143,1986-07-31,0.8,0.14285714285714302
144,1986-08-01,0.7,-0.1250000000000001
