,Date,Open,Close,Volume,10day_MA,10day_MA_Volume,USD/JPY_Spread,Ten_Year,VIX,USDJPY,Nikkei,Nikkei_next_day
0,1997-10-03,996.0,986.0,6.0,971.0,12.7,5.21875,6.01,21.54,121.93,17647.45,17824.78
1,1997-10-06,989.25,989.0,21.0,972.225,14.3,5.1875,5.96,21.61,121.93,17824.78,17511.19
2,1997-10-07,993.5,1000.0,1.0,975.0,13.3,5.1875,5.94,20.29,122.01,17511.19,17619.18
3,1997-10-08,990.0,992.75,6.0,977.8,12.6,5.1875,6.08,20.77,121.09,17619.18,17376.92
4,1997-10-09,989.0,988.5,3.0,980.975,11.3,5.21875,6.09,22.31,121.18,17376.92,17306.39
5,1997-10-14,988.0,988.0,0.0,987.175,7.3,5.222659999999999,6.07,19.99,121.75,17306.39,17331.37
6,1997-10-15,984.0,984.0,5.0,988.2,6.5,5.222659999999999,6.1,20.05,121.31,17331.37,17707.49
7,1997-10-16,970.25,970.25,33.0,987.275,7.8,5.24219,6.09,20.53,119.87,17707.49,17478.42
8,1997-10-17,966.75,959.25,75.0,984.6,14.7,5.25,6.17,21.69,120.19,17478.42,17294.51
9,1997-10-20,964.5,972.75,41.0,982.975,16.7,5.277340000000001,6.15,20.72,121.4,17294.51,17210.09
10,1997-10-21,990.25,990.25,16.0,982.0,18.2,5.28125,6.14,19.53,120.66,17210.09,17687.61
11,1997-10-22,989.5,985.25,98.0,981.25,27.4,5.28125,6.12,19.86,120.71,17687.61,17151.55
12,1997-10-23,970.5,966.0,126.0,979.0,39.7,5.28125,6.04,22.99,121.67,17151.55,17363.74
13,1997-10-24,964.0,954.5,87.0,975.725,48.1,5.28125,6.01,23.17,121.73,17363.74,17038.36
14,1997-10-27,952.0,884.5,366.0,965.475,84.7,5.25,5.91,31.12,121.87,17038.36,16312.69
15,1997-10-28,871.0,934.25,94.0,960.1,94.1,5.21875,5.98,31.22,119.7,16312.69,16364.94
16,1997-10-30,934.25,912.25,82.0,949.3,127.1,5.21875,5.84,38.2,120.68,16364.94,16458.94
17,1997-10-31,897.5,933.5,163.0,946.725,135.9,5.21875,5.84,35.09,120.39,16458.94,16500.1
18,1997-11-04,956.5,952.0,101.0,941.175,151.1,5.22266,5.95,32.24,121.83,16500.1,16448.05
19,1997-11-05,951.25,957.0,85.0,938.35,149.8,5.25781,5.95,32.18,122.56,16448.05,16533.87
20,1997-11-06,952.5,952.25,77.0,936.975,144.9,5.261710000000001,5.9,32.57,123.16,16533.87,15836.36
21,1997-11-07,953.0,941.0,84.0,935.625,144.6,5.24609,5.9,36.27,123.97,15836.36,15697.2
22,1997-11-10,948.0,936.0,38.0,940.775,111.8,5.26562,5.91,36.63,124.15,15697.2,15434.17
23,1997-11-12,929.5,917.75,115.0,939.375,90.8,5.39062,5.89,37.84,126.1,15434.17,15427.27
24,1997-11-13,916.75,929.0,134.0,941.05,96.0,5.42578,5.87,36.64,125.93,15427.27,15082.52
25,1997-11-14,933.0,942.5,69.0,941.95,86.6,5.45703,5.86,33.66,126.78,15082.52,16283.32
26,1997-11-17,942.75,960.0,128.0,942.4,88.6,5.46875,5.85,31.58,125.85,16283.32,16726.57
27,1997-11-18,960.25,952.5,138.0,942.45,92.3,5.4375,5.85,31.55,125.85,16726.57,15842.46
28,1997-11-19,952.0,958.0,187.0,942.55,102.5,5.4375,5.82,29.93,127.22,15842.46,16308.49
29,1997-11-20,963.5,973.25,105.0,944.65,105.3,5.4375,5.84,27.32,126.81,16308.49,16721.58
30,1997-11-21,974.0,980.0,109.0,948.55,107.8,5.40625,5.82,26.65,125.85,16721.58,15867.53
31,1997-11-25,957.0,962.0,1.0,953.5,115.9,5.41016,5.85,28.95,127.45,15867.53,16636.26
32,1997-11-28,965.5,965.25,147.0,964.2,100.7,5.308590000000001,5.86,27.43,127.74,16636.26,17007.59
33,1997-12-01,967.25,990.25,262.0,967.225,114.1,5.29687,5.86,26.01,129.15,17007.59,16910.29
34,1997-12-02,989.75,986.0,299.0,970.575,130.2,5.24609,5.86,25.66,128.77,16910.29,16585.51
35,1997-12-03,987.75,988.5,322.0,973.625,143.7,5.21875,5.83,23.92,128.72,16585.51,16306.79
36,1997-12-04,988.0,988.0,418.0,975.1,175.0,5.22656,5.84,23.84,129.4,16306.79,16424.48
37,1997-12-05,988.5,997.75,512.0,976.875,215.3,5.19922,5.92,22.65,130.2,16424.48,16131.57
38,1997-12-08,997.0,995.75,775.0,980.45,275.5,5.20703,5.96,23.22,130.5,16131.57,16686.51
39,1997-12-09,995.75,990.0,1399.0,983.25,415.3,5.19531,5.95,23.36,129.8,16686.51,16478.12
40,1997-12-10,990.0,981.25,11110.0,984.825,1524.4,5.18359,5.9,24.55,129.09,16478.12,16050.15
41,1997-12-11,981.0,965.25,21898.0,984.8,3714.2,5.17969,5.82,27.63,129.92,16050.15,15904.3
42,1997-12-12,964.75,966.5,10500.0,984.925,4749.5,5.14062,5.74,27.92,130.73,15904.3,15909.39
