Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1959-07-01,114.6,114.6,114.2,114.3,,114.3,2528.0,17694.0
1959-07-02,114.2,114.4,113.7,114.4,,114.4,2428.0,17984.0
1959-07-06,114.1,114.2,113.4,113.6,,113.6,2842.0,18634.0
1959-07-07,113.5,114.6,113.5,114.3,,114.3,2871.0,19069.0
1959-07-08,114.3,114.3,113.4,113.4,,113.4,2189.0,19147.0
1959-07-09,113.4,114.3,113.4,114.1,,114.1,2091.0,19059.0
1959-07-10,114.5,115.1,114.4,115.1,,115.1,2784.0,19191.0
1959-07-13,114.0,114.4,113.6,113.6,,113.6,2907.0,19278.0
1959-07-14,114.0,115.4,114.0,115.3,,115.3,3911.0,19946.0
1959-07-15,115.3,115.4,114.4,114.5,,114.5,4569.0,20001.0
1959-07-16,114.4,115.1,114.2,114.5,,114.5,3917.0,20146.0
1959-07-17,114.7,114.7,114.5,114.6,,114.6,2856.0,20108.0
1959-07-20,114.3,115.1,113.7,115.0,,115.0,1840.0,20556.0
1959-07-21,115.0,115.1,114.5,114.5,,114.5,2790.0,20695.0
1959-07-22,114.4,114.5,113.7,114.1,,114.1,1871.0,20868.0
1959-07-23,113.7,113.7,113.0,113.0,,113.0,2596.0,21236.0
1959-07-24,113.2,114.0,113.2,114.0,,114.0,3373.0,21689.0
1959-07-27,113.7,114.3,113.5,113.6,,113.6,2171.0,21982.0
1959-07-28,113.4,113.5,113.1,113.2,,113.2,3429.0,22819.0
1959-07-29,113.1,113.5,113.1,113.2,,113.2,2173.0,23237.0
1959-07-30,113.5,113.6,113.2,113.3,,113.3,2088.0,23193.0
1959-07-31,113.4,113.7,113.3,113.6,,113.6,2198.0,23562.0
1959-08-03,113.2,113.4,113.0,113.1,,113.1,2333.0,23942.0
1959-08-04,113.0,113.4,112.7,113.2,,113.2,2471.0,24552.0
1959-08-05,113.1,113.6,113.0,113.3,,113.3,3590.0,25487.0
1959-08-06,113.1,113.1,112.3,112.4,,112.4,2391.0,25707.0
1959-08-07,112.3,112.4,112.1,112.2,,112.2,4786.0,25191.0
1959-08-10,112.1,112.5,112.0,112.1,,112.1,3123.0,25132.0
1959-08-11,112.1,112.2,112.0,112.1,,112.1,2699.0,24827.0
1959-08-12,111.7,112.0,111.6,111.7,,111.7,1756.0,24518.0
1959-08-13,111.7,112.2,111.7,112.1,,112.1,2006.0,24728.0
1959-08-14,112.3,112.5,112.3,112.4,,112.4,2433.0,24568.0
1959-08-17,112.3,112.3,112.0,112.0,,112.0,2088.0,24423.0
1959-08-18,112.1,112.1,111.7,112.0,,112.0,2161.0,24810.0
1959-08-19,112.0,112.2,111.7,112.0,,112.0,2098.0,24944.0
1959-08-20,112.0,112.2,111.7,112.1,,112.1,1310.0,24946.0
1959-08-21,112.2,112.5,112.2,112.4,,112.4,1126.0,24989.0
1959-08-24,112.1,112.4,112.0,112.2,,112.2,1541.0,24814.0
1959-08-25,112.2,112.4,112.1,112.4,,112.4,1509.0,24760.0
1959-08-26,112.3,112.4,112.2,112.2,,112.2,919.0,24867.0
1959-08-27,112.2,112.3,111.6,112.0,,112.0,1174.0,24704.0
1959-08-28,111.7,111.7,111.5,111.6,,111.6,2302.0,24483.0
1959-08-31,111.4,112.0,111.3,112.0,,112.0,1750.0,24564.0
1959-09-01,112.0,112.2,111.7,112.0,,112.0,2481.0,25219.0
1959-09-02,112.2,112.3,112.1,112.2,,112.2,1892.0,25312.0
1959-09-03,112.2,112.3,112.0,112.3,,112.3,1692.0,25699.0
1959-09-04,112.2,112.3,112.1,112.2,,112.2,1342.0,25893.0
1959-09-08,112.3,112.3,111.6,111.7,,111.7,1073.0,25964.0
1959-09-09,111.4,111.4,111.1,111.2,,111.2,2615.0,26567.0
1959-09-10,111.2,111.4,111.1,111.2,,111.2,2323.0,26466.0
1959-09-11,110.6,111.0,110.4,110.4,,110.4,2389.0,26656.0
1959-09-14,110.3,110.3,110.1,110.1,,110.1,4260.0,26389.0
1959-09-15,110.1,110.2,109.7,109.7,,109.7,4363.0,26326.0
1959-09-16,110.0,110.3,110.0,110.0,,110.0,3148.0,26346.0
1959-09-17,110.1,110.1,109.6,109.7,,109.7,2210.0,26809.0
1959-09-18,109.7,110.0,109.5,109.6,,109.6,1846.0,26925.0
1959-09-21,109.5,109.5,109.2,109.2,,109.2,1738.0,27150.0
1959-09-22,113.2,113.6,113.1,113.3,,113.3,1026.0,15473.0
1959-09-23,113.5,114.2,113.5,114.2,,114.2,1281.0,15304.0
1959-09-24,114.4,114.6,114.2,114.2,,114.2,906.0,15323.0
1959-09-25,114.1,114.1,113.4,113.6,,113.6,1149.0,15304.0
1959-09-28,113.6,114.0,113.5,114.0,,114.0,369.0,15308.0
1959-09-29,113.7,114.0,113.5,113.5,,113.5,440.0,15286.0
1959-09-30,113.4,113.7,113.3,113.5,,113.5,572.0,15242.0
1959-10-01,113.6,113.7,113.5,113.5,,113.5,1117.0,15332.0
1959-10-02,113.6,114.3,113.6,114.1,,114.1,449.0,15271.0
1959-10-05,114.3,114.5,114.1,114.1,,114.1,335.0,15341.0
1959-10-06,114.1,114.3,114.1,114.2,,114.2,939.0,15681.0
1959-10-07,114.1,114.3,114.0,114.2,,114.2,556.0,15807.0
1959-10-08,114.1,114.4,114.1,114.2,,114.2,338.0,15839.0
1959-10-09,114.1,114.2,113.6,113.7,,113.7,419.0,15675.0
1959-10-12,113.3,113.7,113.2,113.2,,113.2,1088.0,15617.0
1959-10-13,113.4,113.5,113.1,113.5,,113.5,800.0,15647.0
1959-10-14,113.2,113.2,113.0,113.1,,113.1,829.0,15721.0
1959-10-15,113.0,113.2,112.7,113.1,,113.1,1454.0,16029.0
1959-10-16,113.0,113.1,112.6,112.6,,112.6,1528.0,16175.0
1959-10-19,112.6,113.2,112.5,113.0,,113.0,1077.0,16228.0
1959-10-20,113.1,114.1,113.1,113.6,,113.6,1187.0,16759.0
1959-10-21,113.6,114.4,113.4,114.4,,114.4,1043.0,16786.0
1959-10-22,114.4,114.5,114.0,114.1,,114.1,2861.0,17760.0
1959-10-23,114.0,114.1,113.6,113.7,,113.7,1177.0,17784.0
1959-10-26,114.6,115.3,114.5,115.1,,115.1,1207.0,18116.0
1959-10-27,114.7,115.1,114.4,114.4,,114.4,3094.0,18673.0
1959-10-28,114.3,114.4,113.7,114.4,,114.4,1638.0,18651.0
1959-10-29,114.0,114.1,113.5,113.6,,113.6,2029.0,19538.0
1959-10-30,113.5,114.3,113.5,114.2,,114.2,1458.0,20249.0
1959-11-02,114.0,114.2,113.7,114.1,,114.1,1741.0,20697.0
1959-11-03,114.1,116.4,114.0,115.4,,115.4,2629.0,21904.0
1959-11-04,116.6,119.0,116.1,116.6,,116.6,4113.0,22680.0
1959-11-05,117.3,117.4,116.4,116.4,,116.4,6743.0,23414.0
1959-11-06,116.3,117.1,116.1,117.1,,117.1,3036.0,23741.0
1959-11-09,116.7,117.0,116.4,116.4,,116.4,2922.0,24725.0
1959-11-10,116.2,116.4,115.7,116.0,,116.0,2485.0,25273.0
1959-11-11,116.0,117.0,115.7,116.2,,116.2,3354.0,25657.0
1959-11-12,116.5,117.0,116.1,116.6,,116.6,2188.0,26104.0
1959-11-13,117.1,117.1,116.3,116.7,,116.7,2625.0,26789.0
1959-11-16,117.3,117.6,116.4,116.5,,116.5,2074.0,27003.0
1959-11-17,116.5,116.6,116.2,116.3,,116.3,2319.0,26966.0
1959-11-18,116.3,116.4,116.1,116.3,,116.3,2596.0,27011.0
1959-11-19,116.1,116.2,115.4,115.4,,115.4,1014.0,27154.0
1959-11-20,115.1,115.1,114.4,114.4,,114.4,2192.0,27104.0
1959-11-23,114.2,114.7,114.0,114.1,,114.1,3783.0,28243.0
1959-11-24,114.2,114.6,114.2,114.3,,114.3,2631.0,29157.0
1959-11-25,114.5,114.6,114.2,114.4,,114.4,2047.0,29292.0
1959-11-27,114.4,114.4,114.0,114.1,,114.1,1918.0,29459.0
1959-11-30,114.0,114.4,114.0,114.2,,114.2,2291.0,30222.0
1959-12-01,114.1,114.4,114.1,114.2,,114.2,3097.0,30781.0
1959-12-02,114.0,114.3,114.0,114.1,,114.1,2276.0,31159.0
1959-12-03,114.0,114.2,113.6,114.1,,114.1,3543.0,32245.0
1959-12-04,114.0,114.2,113.7,114.0,,114.0,3345.0,32578.0
1959-12-07,113.7,114.3,113.7,114.3,,114.3,2099.0,32811.0
