Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1959-10-14,30.68,30.68,30.62,30.68,,,4.0,43.0,,,
1959-10-20,30.85,30.85,30.85,30.85,,,17.0,69.0,,,
1960-01-22,31.49,31.53,31.49,31.49,,,11.0,255.0,,,
1960-07-14,31.57,31.57,31.57,31.57,,,3.0,341.0,,,
1960-07-15,31.6,31.63,31.6,31.63,,,0.0,341.0,,,
1960-07-18,31.7,31.77,31.7,31.77,,,4.0,341.0,,,
1960-07-19,31.75,31.75,31.71,31.71,,,29.0,352.0,,,
1960-07-20,31.62,31.62,31.62,31.62,,,7.0,354.0,,,
1960-07-21,31.58,31.58,31.58,31.58,,,0.0,354.0,,,
1960-07-22,31.62,31.62,31.62,31.62,,,0.0,354.0,,,
1960-07-25,31.65,31.65,31.65,31.65,,,0.0,354.0,,,
1960-07-26,31.68,31.68,31.68,31.68,,,0.0,354.0,,,
1960-07-27,31.69,31.69,31.69,31.69,,,0.0,354.0,,,
1960-07-28,31.72,31.77,31.72,31.73,,,1.0,355.0,,,
1960-07-29,31.69,31.69,31.68,31.68,,,8.0,353.0,,,
1960-08-01,31.55,31.55,31.54,31.55,,,2.0,352.0,,,
1960-08-02,31.51,31.52,31.51,31.51,,,5.0,354.0,,,
1960-08-03,31.59,31.59,31.55,31.55,,,2.0,352.0,,,
1960-08-04,31.59,31.59,31.59,31.59,,,5.0,350.0,,,
1960-08-05,31.65,31.65,31.65,31.65,,,0.0,350.0,,,
1960-08-08,31.72,31.83,31.72,31.82,,,1.0,349.0,,,
1960-08-09,31.81,31.82,31.8,31.8,,,23.0,360.0,,,
1960-08-10,31.8,31.8,31.76,31.76,,,13.0,370.0,,,
1960-08-11,31.73,31.75,31.73,31.75,,,10.0,364.0,,,
1960-08-12,31.75,31.75,31.75,31.75,,,8.0,366.0,,,
1960-08-15,31.72,31.72,31.66,31.67,,,2.0,366.0,,,
1960-08-16,31.66,31.66,31.66,31.66,,,9.0,368.0,,,
1960-08-17,31.69,31.7,31.69,31.7,,,1.0,368.0,,,
1960-08-18,31.72,31.77,31.72,31.77,,,3.0,364.0,,,
1960-08-19,31.73,31.81,31.73,31.81,,,8.0,363.0,,,
1960-08-22,31.82,31.83,31.81,31.82,,,9.0,362.0,,,
1960-08-23,31.84,31.84,31.81,31.82,,,19.0,370.0,,,
1960-08-24,31.82,31.82,31.82,31.82,,,16.0,371.0,,,
1960-08-25,31.81,31.81,31.81,31.81,,,2.0,371.0,,,
1960-08-26,31.84,31.84,31.84,31.84,,,3.0,371.0,,,
1960-08-29,31.83,31.83,31.83,31.83,,,0.0,371.0,,,
1960-08-30,31.82,31.82,31.82,31.82,,,1.0,371.0,,,
1960-08-31,31.83,31.83,31.83,31.83,,,0.0,371.0,,,
1960-09-01,31.78,31.78,31.78,31.78,,,1.0,371.0,,,
1960-09-02,31.78,31.78,31.78,31.78,,,1.0,369.0,,,
1960-09-06,31.75,31.75,31.75,31.75,,,3.0,368.0,,,
1960-09-07,31.77,31.77,31.77,31.77,,,0.0,368.0,,,
1960-09-08,31.77,31.82,31.77,31.82,,,0.0,368.0,,,
1960-09-09,31.82,31.82,31.82,31.82,,,5.0,373.0,,,
1960-09-12,31.8,31.8,31.78,31.78,,,0.0,373.0,,,
1960-09-13,31.77,31.81,31.75,31.78,,,4.0,377.0,,,
1960-09-14,31.76,31.76,31.71,31.71,,,16.0,390.0,,,
1960-09-15,31.7,31.7,31.67,31.68,,,5.0,395.0,,,
1960-09-16,31.71,31.71,31.71,31.71,,,4.0,396.0,,,
1960-09-19,31.8,31.8,31.8,31.8,,,0.0,396.0,,,
1960-09-20,31.82,31.82,31.82,31.82,,,4.0,399.0,,,
1960-09-21,31.82,31.87,31.82,31.83,,,4.0,399.0,,,
1960-09-22,31.83,31.85,31.78,31.78,,,25.0,414.0,,,
1960-09-23,31.8,31.8,31.8,31.8,,,19.0,431.0,,,
1960-09-26,31.85,31.87,31.81,31.81,,,5.0,436.0,,,
1960-09-27,31.83,31.85,31.83,31.85,,,12.0,440.0,,,
1960-09-28,31.88,31.94,31.81,31.84,,,6.0,442.0,,,
1960-09-29,31.96,31.96,31.87,31.87,,,21.0,451.0,,,
1960-09-30,31.87,31.87,31.86,31.86,,,20.0,459.0,,,
1960-10-03,31.85,31.85,31.85,31.85,,,2.0,460.0,,,
1960-10-04,31.85,31.85,31.85,31.85,,,0.0,460.0,,,
1960-10-05,31.87,31.89,31.86,31.86,,,5.0,460.0,,,
1960-10-06,31.86,31.86,31.83,31.83,,,5.0,463.0,,,
1960-10-07,31.83,31.84,31.83,31.83,,,5.0,465.0,,,
1960-10-10,31.83,31.9,31.83,31.9,,,3.0,464.0,,,
1960-10-11,31.9,31.93,31.9,31.9,,,5.0,465.0,,,
1960-10-12,31.9,31.9,31.9,31.9,,,7.0,469.0,,,
1960-10-13,31.82,31.83,31.81,31.81,,,1.0,470.0,,,
1960-10-14,31.79,31.8,31.78,31.8,,,12.0,478.0,,,
1960-10-17,31.83,31.83,31.83,31.83,,,19.0,490.0,,,
1960-10-18,31.81,31.81,31.8,31.8,,,3.0,490.0,,,
1960-10-19,31.82,31.82,31.82,31.82,,,4.0,494.0,,,
1960-10-20,31.94,32.1,31.94,32.0,,,4.0,495.0,,,
